modelo,accuracy_media,accuracy_std,precision_media,precision_std,recall_media,recall_std,f1_media,f1_std
Trivial (DummyClassifier),0.647,0.027,0.0,0.0,0.0,0.0,0.0,0.0
Heuristico (Glucose),0.709,0.061,0.589,0.076,0.623,0.038,0.605,0.056
Heuristico (Glucose + BMI),0.555,0.025,0.436,0.022,0.905,0.031,0.589,0.025
